0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,10-p utility,10-p reliability
10,9,9,3,2,2,3,3,2,3,3,3,5,2,0,5,0,2,8,10,2,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,10,9,10,10,10,9,10,10,9,10,10,9,9,8,10,8,9,10,7,7,7,7,7,9,10,10,10,9,7,9,10,7,8,9,10,0.9509154775025535,0.2303030303030304
10,10,6,6,1,2,3,3,2,4,1,3,5,2,3,3,0,1,6,3,1,5,1,1,4,4,2,3,2,2,5,1,1,6,3,3,2,3,6,3,2,2,4,1,1,4,6,0,2,1,5,5,5,10,5,10,10,10,9,10,9,10,10,10,9,9,9,10,10,8,10,10,10,10,10,10,8,7,9,9,10,10,10,7,9,7,8,10,10,8,10,9,10,10,9,7,9,7,8,0.6004549662947145,0.5515151515151515
10,9,9,3,5,2,6,5,10,7,8,10,10,7,10,10,10,10,9,10,10,10,10,7,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,10,9,10,10,10,8,10,10,10,10,10,9,8,8,10,7,10,10,7,7,7,7,7,9,10,10,10,7,7,9,10,7,7,9,9,1.1811109939459106,0.10101010101010101
10,10,6,7,1,2,4,3,2,4,1,2,5,0,3,2,3,0,7,2,2,3,1,1,5,6,1,2,1,5,5,1,2,3,4,5,5,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,9,10,9,10,10,8,10,9,9,10,10,10,8,8,9,9,10,10,9,7,9,7,7,10,10,7,10,9,8,10,10,8,9,6,10,0.7337939279897318,0.40000000000000024
10,9,9,4,4,2,1,3,1,0,3,2,6,3,0,5,4,6,5,5,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,9,10,10,9,10,9,10,10,10,9,9,10,10,10,9,10,10,9,10,10,9,8,8,10,8,9,10,7,7,8,7,7,9,10,10,10,9,7,9,10,7,9,8,10,0.9648920705487126,0.22121212121212128
10,10,8,3,2,2,5,3,2,3,3,2,5,2,2,2,1,1,7,4,2,2,5,1,2,2,6,5,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,10,10,10,9,8,8,9,9,9,10,8,8,7,7,7,9,10,10,10,8,7,10,10,7,9,9,10,0.8482957171666822,0.3010101010101011
10,10,6,6,1,2,3,3,1,4,1,2,6,3,3,2,3,0,6,5,2,4,1,1,5,1,2,2,2,2,5,0,1,3,4,2,3,3,2,2,5,0,9,2,3,0,6,2,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,9,10,9,10,10,8,10,10,10,10,10,10,9,9,9,9,10,10,10,7,9,7,8,10,10,7,10,9,6,10,10,7,9,7,9,0.6346364173068657,0.5111111111111113
10,9,9,3,5,2,6,2,10,7,8,10,10,7,10,10,10,10,9,10,10,10,10,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,10,9,10,10,10,8,10,10,10,10,10,9,8,8,10,7,9,10,7,7,7,7,7,9,10,10,10,7,7,9,10,7,7,9,9,1.1728183601989417,0.1101010101010101
10,9,8,3,2,2,2,3,2,4,6,4,5,1,5,10,5,10,9,10,10,10,10,7,10,9,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,9,10,10,8,10,9,10,10,10,9,10,10,10,10,9,10,10,9,10,10,9,8,8,10,7,9,10,7,7,7,7,7,9,10,10,10,7,7,9,10,7,7,9,9,1.0320914013941431,0.18080808080808083
10,9,8,3,2,2,5,3,2,2,2,3,5,1,2,2,1,1,8,5,2,2,2,1,1,4,5,5,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,10,10,10,9,8,8,9,9,10,10,9,8,7,7,7,9,10,10,10,9,7,10,10,7,9,9,10,0.837864257180984,0.3111111111111112
10,9,9,3,2,2,5,3,2,3,1,3,4,1,2,2,1,2,7,5,2,3,2,6,6,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,9,10,10,9,8,8,10,9,9,10,6,8,7,8,7,9,10,9,10,8,7,10,10,7,8,9,10,0.8903553418856095,0.2707070707070708
10,9,8,4,2,2,4,3,2,3,2,2,6,2,1,5,1,1,6,5,5,5,5,7,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,9,10,9,10,10,10,10,9,10,10,10,8,10,10,9,10,10,9,9,8,10,8,9,10,7,7,7,7,7,9,10,10,10,9,7,9,10,7,9,9,10,0.9222906567390866,0.25050505050505056
10,9,8,3,2,2,5,3,1,3,2,3,6,1,2,2,0,1,8,5,2,2,3,0,4,10,5,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,8,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,8,10,10,9,10,10,9,8,8,9,9,10,10,9,7,7,7,7,9,10,10,10,9,7,10,10,7,9,9,10,0.8633986717430664,0.290909090909091
10,10,6,7,1,2,3,3,2,3,1,4,4,0,3,1,3,0,7,2,1,5,1,1,5,5,2,2,1,6,5,0,2,1,5,5,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,10,10,10,8,10,10,10,9,10,10,10,10,8,10,10,9,10,10,10,8,8,9,9,10,10,9,8,8,7,7,10,10,8,10,9,7,10,10,8,9,7,10,0.7425136985489579,0.3919191919191921
10,9,9,3,6,5,6,5,10,7,8,10,10,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,9,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,8,10,10,8,10,9,10,10,9,10,9,10,10,10,8,10,10,10,10,10,9,8,8,10,7,10,10,7,7,7,7,7,9,10,10,10,8,7,9,10,7,7,9,9,1.1981279792531994,0.09090909090909091
10,9,8,4,2,2,5,3,1,3,3,2,6,2,2,2,2,1,7,2,2,2,2,0,2,3,1,4,5,3,5,5,10,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,9,10,10,10,8,10,10,10,10,8,10,10,10,10,9,10,10,10,8,10,10,9,10,10,9,8,9,10,9,9,10,8,7,7,7,7,10,10,10,10,9,7,10,10,7,9,10,10,0.7875627719776157,0.35050505050505065
